id,symbol,name,price_usd,market_cap_usd,volume_usd_24h,change_pct_24h
bitcoin,BTC,Bitcoin,68255.0,1363581111702,48368610543,-3.97984
ethereum,ETH,Ethereum,1988.36,239701334815,20929880985,-4.19517
tether,USDT,Tether,1.0,184045786194,73638059165,0.0001
binancecoin,BNB,BNB,631.31,86039941638,955453987,-3.07607
ripple,XRP,XRP,1.36,83367439373,2375946371,-3.58743
usd-coin,USDC,USDC,0.999996,77293441852,4408819783,-0.0002
solana,SOL,Solana,85.46,48702196374,4134483631,-3.84552
tron,TRX,TRON,0.285042,27005729978,560788450,0.82313
figure-heloc,FIGR_HELOC,Figure Heloc,1.034,16169041150,236620120,0.34453
dogecoin,DOGE,Dogecoin,0.090848,13920284328,1067410521,-3.40886
whitebit,WBT,WhiteBIT Coin,54.7,11681887117,88050088,0.24804
usds,USDS,USDS,1.0,10746019653,18818525,0.00628
cardano,ADA,Cardano,0.259373,9549329855,474634915,-3.83455
bitcoin-cash,BCH,Bitcoin Cash,450.36,9012438353,235339560,-1.57378
leo-token,LEO,LEO Token,9.05,8333786238,741182,0.58987
hyperliquid,HYPE,Hyperliquid,30.39,7242635832,233313150,-0.58905
monero,XMR,Monero,346.2,6383364248,91944341,-7.3701
chainlink,LINK,Chainlink,8.8,6229468639,321122640,-4.3994
ethena-usde,USDE,Ethena USDe,0.999371,5950340882,104413445,-0.01814
canton-network,CC,Canton,0.154047,5845714079,40431777,2.07088
