id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,68255.0,1363581111702,1,1363581111702,48368610543,71520.0,67790.0,-2829.0367147888755,-3.97984,-57538467171.93555,-4.04881,19998768.0,19998793.0,21000000.0,126080.0,-45.86361,2025-10-06T18:57:42.558Z,67.81,100557.87848,2013-07-06T00:00:00.000Z,,2026-03-06T19:44:00.533Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1988.36,239701334815,2,239701334815,20929880985,2096.3,1957.7,-87.0678171639845,-4.19517,-11098031128.145844,-4.42506,120692086.1323928,120692086.1323928,,4946.05,-59.79892,2025-08-24T19:21:03.333Z,0.432979,459129.14179,2015-10-20T00:00:00.000Z,"{'times': 37.95081323954003, 'currency': 'btc', 'percentage': 3795.081323954003}",2026-03-06T19:44:01.084Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,184045786194,3,189512841656,73638059165,1.0,0.999895,1e-06,0.0001,140410558.0,0.07635,184041820858.2429,189508758530.6562,,1.32,-24.41773,2018-07-24T00:00:00.000Z,0.572521,74.67054,2015-03-02T00:00:00.000Z,,2026-03-06T19:44:04.731Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,631.31,86039941638,4,86039941638,955453987,651.82,625.57,-20.035958291126235,-3.07607,-2760237185.7786865,-3.10837,136358477.04,136358475.98,200000000.0,1369.99,-53.91848,2025-10-13T08:41:24.131Z,0.0398177,1585408.28784,2017-10-19T00:00:00.000Z,,2026-03-06T19:44:00.626Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.36,83367439373,5,136290567875,2375946371,1.42,1.35,-0.05074648085150013,-3.58743,-3076512892.053879,-3.55897,61160154774.0,99985705309.0,100000000000.0,3.65,-62.59801,2025-07-18T03:40:53.808Z,0.00268621,50671.14144,2014-05-22T00:00:00.000Z,,2026-03-06T19:44:04.636Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/USDC.png?1769615602,0.999996,77293441852,6,77300222594,4408819783,1.0,0.999808,-1.989410482017e-06,-0.0002,135884073.0,0.17611,77294500112.45828,77301280946.95218,,1.043,-4.16672,2018-11-15T00:00:00.000Z,0.877647,13.93952,2023-03-11T08:02:13.981Z,,2026-03-06T19:44:05.028Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,85.46,48702196374,7,53128259201,4134483631,89.7,83.84,-3.4177740782436814,-3.84552,-1965466745.6166382,-3.87913,569935614.6309273,621731414.5432683,,293.31,-70.86412,2025-01-19T11:15:27.957Z,0.500801,16964.45959,2020-05-11T19:35:23.449Z,,2026-03-06T19:44:04.490Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.285042,27005729978,8,27005740414,560788450,0.28713,0.282715,0.00232711,0.82313,221567752.0,0.82723,94742101290.4572,94742137900.2506,,0.431288,-33.90921,2024-12-04T00:10:40.323Z,0.00180434,15697.555,2017-11-12T00:00:00.000Z,"{'times': 149.0220326736973, 'currency': 'usd', 'percentage': 14902.203267369732}",2026-03-06T19:44:09.370Z
figure-heloc,figr_heloc,Figure Heloc,https://coin-images.coingecko.com/coins/images/68480/large/figure.png?1755863954,1.034,16169041150,9,16169041150,236620120,1.037,1.017,0.0035503,0.34453,78672923.0,0.48894,15637046921.597,15637046921.597,,1.035,-0.07665,2026-03-06T19:20:47.370Z,0.155357,565.57932,2025-10-31T14:27:24.456Z,,2026-03-06T19:44:04.261Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.090848,13920284328,10,13921331378,1067410521,0.094669,0.090114,-0.003206179223747177,-3.40886,-485062635.3812809,-3.36724,153288646383.7052,153300856383.7052,,0.731578,-87.58188,2021-05-08T05:08:23.458Z,8.69e-05,104438.91218,2015-05-06T00:00:00.000Z,,2026-03-06T19:44:04.569Z
